RATING,REASON,SIDE EFFECTS FOR ZITHROMAX,COMMENTS,SEX,AGE,DURATION/DOSAGE,DATE ADDED
1,Covid,High anxiety! I have anxiety to begin with. Doctors should let patients with anxiety know about this effect. I took amoxicillin forever. No problems. I'll try to ask fir that.,,M,63,1 days30mg 1X day,1/17/2022
1,Terrible,"Splitting headache, feels like my heads gonna explode, such severe anxiety I almost passed out , hearing feels muffeled.",,F,29,3 days250mg 1X day,01/01/2022
1,Covid,"Overheated, sweaty, intense stomach cramps, diarrhea, vomiting, insomnia",This feels worse than what I'm trying to treat. My stomach pains are so bad and last several hours. I have to get up many times to use the bathroom and can't go to sleep until 4 am. Do not recommend,F,22,5 days 1X day,10/31/2021Email
1,Pneumonia,"Horrible side effects been 17days since the last dose BP high, heart feels like its pounding out of my chest insomnia the diarrhea ended the 16th day im hoping all this anxiety ends very soon I took the generic azithtomycin for community acquired pnuemonia got rid of the pnuemonia took the z pack Horrible medication",,F,61,5 days 1X day,8/25/2021
1,Covid pneumonia,"I have no allergies to any meds and had just eaten two beef patties before I took the first two dosage as told to do so. Around 1-3hrs later I had full blow diarrhea, went to sleep because I felt sleepy couldn't keep my eyes open, then woke up basically running out of my sleeping position with a heart rate of 125, dizziness, very very high ANXIETY!!!! Horrible reaction, I thought I was going to need to goto the ER. This happened 2 more times so far.",,F,36,1 days250 2X day,8/12/2021Email
1,Pneumonia,"Abnormal dreams where I cant tell if im awake or asleep, restlessness, inability to sleep for first few hours after taking it. Only on second day and never had dreams like this prior.",I took 1000mg 1st day and followed by 3 days of 500mg once a day.,F,31,2 days500mg 1X day,08/12/2021
2,tonsilitis,"horrible anxiety; just felt really ""off"" and also insomnia.",hate it.,F,51,250 1X day,08/04/2021
1,Sinus infection,"I'm allergic to many antibiotics so this has been my go to when I do become ill. Never had an issue. This time, however, I started having severe anxiety that I couldn't shake. Along with diarrhea, bouts of nausea, dry mouth, and sleep issues. I felt off and weird in my head. I also have anxiety and adhd regularly but this was different and I couldn't control it. I stopped on day 3 once I put together what was happening.",I won't take this again unless absolutely necessary.,F,37,3 days250mg 1X day,06/04/2021
1,As Precaution due to Covid,"Severe anxiety/panic, irritability, can't sleep, stomach pain, diarrhea so severe almost couldn't make it to the bathroom.","I have taken this medication in the past and never had this reaction, not sure if it's the manufacture or what the case may be. I definitely will not ever take it again. I was prescribed the medication for precaution because I tested positive for Covid with mild symptoms. Night one, I woke up extremely hot and it felt like my blood rushing throughout my body, followed by complete feeling of fear. I had my husband take me to the ER because I wasn't sure what was going on and given I tested positive for Covid I wanted to be on the safe side. By time I got to the ER I felt a little better and of course all my test came back normal. I skipped the second day, did not take the antibiotic and felt a little better. Decided to take the antibiotic on day 3 & 4 with today being day 4 and ended up back at the ER. I felt like I could not breath because I was having an anxiety attack, my body was shaking from the inside, completely irritable and couldn't concentrate. This is horrible, definitely won't ever take the medication again.",F,43,4 days500mg 1X day,1/9/2021Email
1,Chlamydia,"Headache, Insomnia, Increased Anxiety, Low Mood","I tested positive for Chlamydia and was given a shot of Rocephin and 1000mg (4 250mg pills of Zithromax). I didn't start to feel bad until 2 or 3 days after taking the antibiotics. My anxiety began to ramp up and I also developed insomnia, I felt ""blah"" and had a constant headache for multiple days.
It has been 10 days since I have taken my 1000mg dose and I'm starting to feel better. All symptoms are on the decline although my sleep is still messed up.
I did some research and found out that antibiotics kill not only bad bacteria but also good bacteria in your gut. This happens to be where many of your neurotransmitters are produced which I think is the reason why I felt so many mental effects. I read up on probiotics and prebiotics and started taking both for the foreseeable future. I also took a trip to Whole Foods and have been eating a healthy diet of organic fruits and veggies. Hopefully, I am on the mend! I know one thing, I will never take that antibiotic again! It made me feel compeltely off.",M,41,1 days1000 1X day,12/18/2020Email
1,Bartonella,"Dizziness, severe panic attacks, heart beat intense, major nausea, constipation, difficult swallowing food","Do NOT take this medicine. Ask your doctor if there is any medicine you could take besides this. I have had severe anxiety and severe depression my whole life, but nothing will ever, end I mean EVER. Come close to how this medicine made me feel. I felt better without it.",M,21,5 days250 1X day,12/1/2020Email
1,Chlamydia,"Sweating, vomiting, headaches, abdominal pain, loss of appetite, and extreme anxiety",I do not recommend this medication 100000%,F,18,1 days500 1X day,11/24/2020
1,Sinus,"Anxiety, heart palpitations, BAD stomach pain, gas, nausea and gross poop, dizziness","I have taken this before and was fine. Took it when I had covid, it helped the pneumonia. Then I took it in July and no side effects. Have a sinus infection and boy oh boy are the side effects awful. Felt fine on day one but by day two an hour after taking I was dizzy and off, stomach pain through the roof, heart palpitations, ANXIETY! I had to
Listen to anxiety songs on YouTube tk go to bed. I stopped taking it, after day two. The half life is almost 3 days. By the end of the week I should feel back
To
Myself but never again",M,28,5 days250 1X day,11/22/2020
1,Wisdom Tooth Exraction/infection,"Anxiety, Depression, diarrhea, loss of appetite, stomach pain, stomach cramps, racing heart, insomnia.","Advocate for yourself. If you are experiencing any negative side effects, tell your doctor so they can switch you to another medication. You don't deserve to feel like this.",F,29,3 days250 MG 1X day,10/22/2020
3,Severe sinus infection....ear infec,So I don't like the drug. . granted it did help clear up some of my sinus infection and I do feel better than I did before. But I need sleep. This drug messes with my sleep big time. I can't get to sleep and when I do I'm in and out of sleep all night. Then I am anxious the next day because I didn't sleep. This pill also gave me awful and I mean awful diarrhea from day 1. I had to watch what I ate... Half the time I couldn't make it through dinner without a bathroom trip.. the stomach pains are horrible.,,F,39,5 days250mg 1X day,10/18/2020Email
1,Bronchitis,"Dizziness, abdominal pain, diarrhea, loss of appetite, stomach pain, headache,","if I knew what is in front of me before I took this horrible pills I would never do it ! Never again, I should of ask for Amoxicillin if I only knew how my body will react to it. You are not alone ! Take care!",F,43,5 days250 1X day,10/12/2020
3,Sinus infection,"This is one of two maybe three antibiotics I can take, and I have taken it for many years. This is the first time I have felt anxiety on it, however. I am distracting myself with TV. Reading other patients reviews makes me want to stress that you should take Zithromax with food, substantial food, not just a few chips or piece of toast. Follow up any antibiotic regime with a lot of yogurt to replenish good bacteria in the gut. Very important. Hang in there. I wish you all well.",,F,56,5 days150 mg 1X day,10/09/2020
1,I was tested positive for covid 19,Horrifying.. I was asymptomatic covid positive and still doctors prescribed me this antibiotics... Heart palpitations.. Sweating rubber and type feeling in head,Don't take this medicine... I can't able to sleep properly .. Its like.. Fast heart palpitations but when you measure it shows normal... And you do not understand what to do,F,33,5 days500 1X day,10/1/2020Email
1,Possible lung infection,"During taking the medication I only experienced mild bloating, but at the end, I started to get timing him my ears. It is 7 months later and I have official diagnosis of PERMANENT HEARING LOSS and very loud tinnitus (ringing). I will have to spend thousands on hearing aids to compensate.","There was no warning on the picking of hearing loss, though it is common. It should not be prescribed if underlying cause is unknown (viral vs bacterial).",M,39,10 days250mg 1X day,9/28/2020
2,Sinus infection,Joint pain in knee and hip severe. Heart palpitations,,F,50,5 days250 mg 1X day,9/22/2020Email
1,Sinus infection,"Horrible dizziness, lack of appetite, nausea, yellow stools, stomach pains, anxiety and depression.",Never again. I stopped taking by day 5. It's been a week since stopping and I have good days and bad days. Can't wait till it gets out of my system,F,54,7 days250mg 1X day,9/22/2020
1,Possible Sinus Infection,"Severe anxiety attack, sweats, chills, shaking, ER visit","STAY AWAY. I had to go to the ER because I thought I was having a heart attack. Turned out it was this terrible pill. Gave me a serious anxiety reaction that I could not control, my heart rate was above 130 and I couldn't get it down for thirty minutes at the ER. I don't suffer from anxiety or panic attacks. Happened about four hours after I took the Zithromax.",F,33,1 days 1X day,9/16/2020
1,Sinus infection,Anxiety extreme nausea dizziness shakiness,This has always been my go to antibiotic but this time was different. I got a generic I never took before and by the fourth pill I knew I could not continue.,F,36,5 days250mg 1X day,09/04/2020
1,Pharyngitis,"Insomnia, anxiety, stomach pain",DO NOT TAKE THIS DRUG! IM 21 & its been 5 days since I finished my last dose I cant eat big without getting bloated with aches major insomia at night To take this you have to be a soldier. GUYS WRITE ME BACK IF YOU FEEL BETTER thank you,M,21,5 days500 1X day,8/15/2020Email
3,COVID - 19,"Anxiety, Panic Attack, Loss of Appetite","Azithromycin helped with my respiratory symptoms related to covid-19, however while taking this antibiotic I have experienced severe anxiety and panic attacks - I had palpitation, high blood pressure, sweating in my feet, and excessive worry. I almost went to ER a few times because of fear of heart attack and stroke while having these symptoms. My anxiety was controlled for 3 consecutive days after taking the last dose of Azithromycin but on the fourth night, I had another episode of panic attack which lasted for 4 hours. I am thankful for this site and to all who posted their review because it help me understand that the anxiety and panic attack that I am suffering from maybe related to Azithromycin since I was doing fine before I got sick. Prayers and support from my family - talking about my symptoms, help me manage my symptoms but the anxiety and panic attack is still overwhelming sometimes. I hope that we all get better soon and please e-mail me what works with your anxiety and panic attack. Thank you so much.",M,45,5 days 1X day,8/1/2020Email
3,Throat infection,"2 hours after taking it, my tummy started rumbling and became very bloated. Unreal feeling as if I was high. 2nd day nausea and no appetite. Seems to have worked as a treatment but side effects are not pleasant. Luckily only did it for 3 days.",,M,42,3 days500mg 1X day,7/24/2020
5,Tonsillitis; pre-surgery,A little loose stool. Otherwise no problems.,"Usually start to feel better within 2 days, bounce back really fast. This time tonsils shrinking nicely, less scarlet, still white patches; and ears hurt, but just exhausted, not bouncing back. Oh well, getting older. Ultimately had to cancel surgery anyway.",F,65,4 days250mg,6/15/2020
1,Sinus infection/bronchitis/pneumoni,"Heart palpitations (134 bpm) for 2 wks, extreme anxiety, Heart pain, acid reflux, depression, crying spells, muscle twitching, foggy and blurry vision. After 4 months I still have anxiety yet more mild then extreme. Did the side effect wear off? For how long did it last?",,F,37,5 days,6/5/2020Email
1,flu,"Please dont take this drug.This is pure evil.Im in such a dark place and its been 3 weeks since i finished the last dose.This drug puts me in a deep depression i dont know if im going to be the same anymore.
Please someone tell me how long this drug will stay in my system because im still thinking i have some lufe treating disease.
i have done lungs x ray bcs i thought i have lung cancer.after that i thought i have endocryne tumor.
i did all the test came clear.
Now im obsessed withmy head i think i have something.
I have only dark thought also about my kids.
What bothers me more than everything is pin and needles in all body.
Its driving me crazy.Please if anybody here also sufer from pins and needless and where did they finay go away .
Im desperate.",,F,34,3 days,5/30/2020
5,Major Sinus Infection,Feeling slightly hyper.,"I had a very bad sinus infection for a month, with congestion, fatigue, and sweats. Within a day the medication took care of 50% of the symptoms. By the 3rd day I felt great. Yes, I felt a bit hyper but I take Klonopin for anxiety. No known GI issues.",F,55,1 days500 1X day,5/27/2020
1,Pharyngitis,"Horrible Anxiety, Insomnia, Yellow watery diarrhea, complete loss of appetite, confusion, racing heart and heart palpitations, sores in mouth, extreme paranoia and hypochondia.","I was in and out of the ER 3 times two days after discontinuing this medication due to an allergic reaction/adverse affects from this drug. I also tested negative for COVID-19. It took 3 injections of Ativan for me to feel normal again. I was instructed to admit myself to the psychiatric ER due to the distress this medication put me through. Thankfully, I did not admit myself and I am starting to feel better 17 days after discontinuing this medication. The doctor should have told me to discontinue the medication after I told them I had trouble sleeping after taking it the second night and my throat was not improving. Unfortunately, I had taken the medication 4 days allowing it to slowly build in my system. The worst of the adverse effects will be felt midway through taking this medication due to the slow half life and reabsorption. Once I was switched to Augmentin my fever dropped and swelling in throat started to reduce. Avoid at all costs unless you are allergic to penicillin.",M,31,5 days250 1X day,5/24/2020
1,,Dizziness dryness to throat barely can sleep it's been 12 days since I had my last dose and the I'm still having the symptoms I know it takes 15 days to get out of your system and I really hope that I feel back to my normal self after day 15 I don't recommend nobody to take this drug at all it's horrible I can't do my fully routine each day because I'm worried about the symptoms if anybody has took this drug and not having symptoms anymore please email me so I can know how many days it took for you,I'm still having the symptoms I know it takes 15 days to get out of your system and I really hope that I feel back to my normal self after day 15,,34,5 days250,5/14/2020Email
5,Pneumonia,"Anxiety and panic attacks, insomnia, accelerated heart rate, fatigue, chest flutters, and negative thoughts",PLEASE DO NOT USE!!! It's been eight days since my last dose and the side effects are still present. The anxiety and panic attacks are overwhelming. I am averaging about a solid 3 hours of sleep. I've taken magnesium and chamomile which allow me to get to sleep but it hits hard at night. I spend my day avoiding activities because of fear of an attack. How can this medication still be issued???? I hope this comes to an end soon because each day brings about more negative thoughts.,M,55,3 days100mg,4/25/2020Email
1,Walking pneumonia,"(See my post below from 1/21/20)..continued but lessened anxiety, doom & gloom thoughts and dread.","Just wanted to follow up on my post from January 21st below. I would say for the most part my negative symptoms have subsided including the nausea, heart issues and loss of appetite. The psychological turmoil has lessened to a degree but does keep coming back on occasion. Again, this is all unprecedented for me. I have no history to mental illness personally nor in my family, but after this Zpack experience it feels like my brain has re-wired itself. I will go weeks at a time with no issue and then a weekend or several days where the dread and anxiety sneak back up on me. As others have mentioned, this could still all be related to my gut flora not being where it should be, but I have no idea. If anyone is still experiences this even months after their last dose, reach out to me.",M,33,5 days250 mg,4/19/2020Email
1,Double ear infections and sinus infection,"Anxiety, panic attacks, hyperventilating, tingling and numbness and chills and etc",I have one more dose left and will deal with the side effects until they are out of my system. I will not be taking this antibiotic again.,F,25,5 days250,4/17/2020Email
1,Respiratory infection,"Loss of appetite, nausea, bloating, constipation and diarrhea, EXTREME PANIC AND ANXIETY attacks. Loss of sleep, fungal infection.","What a mess, I'll never take this again. A day after the first double dose I had a 2 hour long panic attack out of nowhere. 2 days after I started I lost my appetite and started the gastro issues that lasted a week. 12 days after last dose I still have uneasy stomach sometimes, insane anxiety all the time, can't sleep through the night no matter what I do. 5 days after last dose I got Oral thrush and am taking clotrimazole lozenges. I'm also now taking tums as needed, Xanax as needed, and Zoloft. The longer I have these issues the longer I have been off my Rheumatoid meds and I hurt. Just stay away from this nightmare drug!",F,45,5 days,04/05/2020
3,Bronchitis,"Anxiety, insomnia, jittery, dizziness, stomach cramps, chest pressure","I had the double dose on day 1 and within 30 minutes had intense stomach cramps. Now horrible anxiety, insomnia and jittery feeling.",F,21,5 days250,3/26/2020Email
1,Otitis Media,"Suicidal Thoughts, Anxiety, Depression, Mental Fog, Crying Spells, Joint pains, LOSS OF APPETITE, CONSTIPATION, YELLOW COLOURED STOOL, Nightmares","I took Azomax, Azithromycin 500 on Sat with food which gave me severe pain and heartburn which I thought is some ulcer. Took 250 on Sunday. Gave me joint pain which I attributed to being tired. Monday took 250 and it hurt my kidneys as if they've been blown by bomb.
I had no sleep Sunday will Wednesday with continously thinking about ways of suicide. I had other symptoms too. But what bothered me most was lack of appetite and constipation Took ispaghol for constipation and got yellow coloured stool which continues to this day. Day 4 but getting better. What helped me quickly was a product Liv.52. My friend has used it for his alcohol related liver problems. It's hepatoprotective and removes toxins from liver.
So I took it yesterday night and within 3 hours, my insomnia was gone, my mental fog was clear, I was hungry again in the morning. In fact improved everything except yellow coloured stool. Which is getting better. Has been a life saver for me. Yesterday night I went to bed with fogged mind depression and anxiety and today I'm eating, laughing, singing.
My recovery has been a swift miracle seeing the long term effects on other writers here although my symptoms were much more severe.",,29,3 days500then250,3/6/2020Email
1,Upper Respiratory,"Extreme anxiety, always sleeping, crazy dreams, depression, even after finishing about 7 -10 days ago. Makes you feel panic anxiety. Glad I am not the only one feeling this. Will NEVER TAKE AGAIN!",,F,58,4 days500mg,03/02/2020
1,Sinus infection,"Anxiety, paranoia, depression, blurred vision, stomach pain, weakness in arms, twitching, RLS, fatigue. Legs feel weak and twitchy.","Stay away from it! ItÃ¯Â¿Â½s been 13 days since taking this. I only did the double dose of 500mg and it was enough to stop me that night I woke up feeling awful.
My recommendation is to look into amino acid therapy to replenish the nutrients destroyed/lost from this death pill. Google amino acid therapy on YouTube. ItÃ¯Â¿Â½ll help with the mental rehabilitation and also the physical. Magnesium is important so are the B vitamins.. and taking probiotics to rebuild that gut flora.
IÃ¯Â¿Â½m still feeling it the mental has calmed down a bit but the physical seems to have grown but itÃ¯Â¿Â½s only been 13 days and itÃ¯Â¿Â½s supposedly in us for about 15-17",M,33,2 days500,2/27/2020Email
1,Bronchitis,An hour after taking first dose had bad panic attack and dead legs feel very stressed and uncomfortable was in pretty relaxed good form all day till tablets taken .,,F,22,1 days,1/28/2020
1,Pneumonia,Absolutely ruthless anxiety/panic as well as severe loss of appetite and intense nausea; Intense heart pounding,"I already posted my review on the AZYTHROMICIN askapatient page but this one seems to receive more activity.
I took two z-packs 12 days apart. The first Z-pack I finished but the second I only got 3 days into before getting hit with vomiting, nausea and anxiety/panic like I could never fathom. Today is DAY 17 after my lose dose of the 2nd z-pack and while I do think things have gotten better, I am still experiencing considerable anxiety and negative intrusive thoughts as well as minimal appetite if any. I don't remember what it feels like to be hungry and devour a meal. It also seems like the nausea, loss of appetite and anxiety are all interconnected. When one is present they're all present. When one gets worse they call get worse.
I have never experienced anything like this in my life. I can't recall having anxiety or panic issues EVER. Aside from stage fright for public speaking situations, I have always been easy-going and cool as a cucumber.
If you have had identical symptoms (incessant anxiety, gloomy thoughts, loss of appetite, nausea) please E-mail me and let me know how things played out for you and if you did anything to alleviate the side effects.
Technically the drug should be out of my system by now but it sure does not feel like it.",M,33,250 mg 1X day,1/21/2020Email
1,Respiratory Infection,"First day- extreme dizzy episodes...felt very agitated.
But have been told to finish, so I did. Each day was anxiety, blurry vision, dry throat, and dizzy spells. I had a few heart palpitations but not enough to be alarmed. My last pill was 7 days ago, but I am still dealing with headache/ pressure mainly on the tight side and extreme anxiety! Pretty sure I had a panic attack last night...I hope it leaves my system very soon!
I have taken this before and donÃ¯Â¿Â½t recall any symptoms , but I WILL NEVER take this again.",,,43,5 days,1/14/2020Email
1,Cold,Nervous shakey not can't eat short of breath.,,F,55,2 days250mg,1/11/2020Email
1,Upper Respiratory infection,"Panic attacks, rapid heart rate, loss of appetite, diarrhea, depression, feelings of disparity, face and throat tightness, fatigue.",Never again will I take this medicine. I have taken it in the past but it has been 10 years and i do not recall ever having side effects like this. It's been 4 days since my last dose and I had a panic attack earlier this afternoon. This medicine can't get out of my system soon enough!,,41,5 days,1/3/2020Email
1,Sinus Infection,"15 min after taking my first 2 doses, I had massive stomach cramps. That was at 9pm. It is now 9am and I still have them. I had night and cold sweats, loose stool and nausea With dizziness. Same with my daughter. (She has a sinus infection as well)",I do not recommend this at all.,F,27,1 days,12/12/2019Email
2,Pneumonia,"ANXIETY, diarrhea, dry mouth","I am prone to anxiety and have had it under control for a few months, this caused it to start all over again. I have two more pills I will not take",F,56,5 days250 mg,11/07/2019
1,Sore throat,"HORRIBLE side effects: SEVERE PANIC and ANXIETY, depression, diarrhea, stomach pains, nausea, extreme dry mouth and throat, bad neck/jaw pain, insomnia, fatigue, dizziness DO NOT TAKE THIS!",I took the generic and maybe thatÃ¯Â¿Â½s the problem as IÃ¯Â¿Â½ve taken this antibiotic before with no problem 5 years ago,F,51,4 days,10/15/2019
1,Ear Infection,"Diarrhea after 3 days of taking the medication
Anxiety- rapid heartbeat , nervousness,
Panic attacks, heart palpitations
IÃ¯Â¿Â½ve taken it before and never had the anxiety or chest pain but I have had the diarrhea when taking it before for another illness.",I donÃ¯Â¿Â½t understand why medicine like doesnÃ¯Â¿Â½t get improved for people. Usually if we take Zithromax we cannot take Augmentin. Running out of options.,F,41,3 days250 mg,9/19/2019
3,sinus infection,For everybody asking zithromax stay in system for like 17 days my doctor said it builds for 10 days so even after you last dose on day 5 it still keeps going,,F,32,5 days250,8/22/2019Email
1,acute bronchitis,"Took prescribed dose of 2 pills the first day and 1 pill for the next 4 days. Have taken this drug a few years back with no side effects. However, after finishing the last dose began experiencing SEVERE ABDOMINAL CRAMPING, SEVERE ANXIETY, loose stools, constipation, low back pain, fatigue, and sleeping problems. It is now 7 weeks since I finished these meds and I am still experiencing these side effects. They are definitely lessening but by baby steps each day. Has anyone experienced these lingering side effects and for how long?",This was a generic and I truly believe these generics are full of unknown garbage fillers that are harming us.,F,75,5 days250 mg 1X day,8/20/2019Email
1,Pneumonia,"IÃ¯Â¿Â½ve been on this drug for three days and after day two, I started to feel very high levels of anxiety and depression. My mind seems so confused and gloomy. I will stop taking it and find another option for me. I also felt a very very dried throat.",,F,32,3 days250mg,07/12/2019
1,Upper respiratory infection,"Extreme Dry coughing fits sleeping all the time some sort of weird pain in my throat and abdomen like the pill is stuck nausea. I feel like my brain is in a fog and when IÃ¯Â¿Â½m sleeping I have weird dreams.
Diohrreah loss of appetite depression and jaw pain",Do not take this if you can avoid it,F,36,5 days250 mg,5/25/2019
1,Clamidia,"Tinnitus,VÃ¯Â¿Â½rtigo,blurried vision,diarrea",,M,29,1 days1000,4/29/2019
1,Throat infection,"My side effects started after 4 dose of completion of dose. Side effects were diarrhea, fatigue, dizziness, shortness of breath, sleepy all the time, No appetite because of which i experienced weight loss. Do the side effects of zithromax start after 4 days of completion of dose? I'm worried and very much depressed. Need help. Anyone who had the same issue please email me and let me know. Its a humble request.",,M,30,2 days,4/18/2019Email
1,Strep Throat,"This is after first dose. I had very vivid, gory bad dreams. I work up once in the night with bad dreams and thoughts and went back to sleep. I woke up a second time with a completely different vivid and violent night mare. IÃ¯Â¿Â½m sensitive to drugs like Benadryl and did not realize this had a side effect like this for me. I am going to call my doctor today to see what they recommend.",,F,24,5 days250 MG,04/11/2019
1,Strep throat,"So i was prescribed by my GP to take this antibiotic. 500mg twice a day for 2 and half days. i.e 2500mg in 2 and half days. It did work on me but left me major side effects. After 4 days of completion of the course i started having lose stools. i would just rush to the washroom if i ate something or even had a glass of water. Frequent urination, anxiety, fear, depression. I used to sleep atleast 14-16 hours in the day. I have had panic attacks, shortness of breath. loss of appetite. i lost 3kgs in 1 week. have had a very bad experience. Now 2 weeks after the completion of dose i am still having drowsiness and fatigue. I dont understand whats happening with me. is there out anyone facing the same thing as i am? Pls get in touch!",Do not take this medicine. there are better AB available!,M,28,2 days500mg X 2,9/29/2018Email
4,Sinus turned bronchitis,By day 2 nauseous. By day 4-5 nasty neck and wrist pain with stiffness..finally finished but still cant eat much and still in alot of pain with wrist and neck.wasnt eating the best prior to taking medicine because was so sick...going to give a few days and see whats what before complaining to my dr...bronchitis is better but sinus not so much...,,F,48,5 days,7/9/2018Email
2,Broncitis,"I can't feel my skin, I cannot smell things and taste them either. I feel as I could go out at Anytime. This is horrible!",,F,44,5 days,6/27/2018Email
4,Bronchial infection,"One week after first dose: extreme GERD, nausea, vomiting, severe dizziness, stomach pain, weakness, brain fog.","Received a Zpak from an Urgent Care doctor for a bronchial infection. I do not use antibiotics often - when I do, they work immediately. This Zpak knocked out the infection quickly. I didnÃ¯Â¿Â½t experience side effects until one week later. They were very severe. I could not keep food down (even low acid, alkaline foods) without having terrible acid reflux. Water and ice chips also caused acid backup. Dizziness kept me lying still in bed. Stomach pains were a constant. Muscle weakness throughout. IÃ¯Â¿Â½ve never had an adverse reaction to other antibiotics other than mild D a few days after starting. Never anything at this level of discomfort. Poison! Will never take it again.",F,61,5 days500mg 1X day,6/15/2018
2,Strep throat,"Ichy, burning, tingling on skin. Nauseous, very irritable. Muscle spasms. Feel like I can scratch my skin off. Hard to breathe",Helped my throat but u have to play for it. Can't sleep.,F,32,2 days,06/11/2018
1,Ear infection,Severe ringing in the ears nauseousness possible inner ear damage. This medication is pure poison,,M,42,5 days,05/02/2018
